operator,format,index_dtype,value_dtype,op,route,status
alpha_spmm_alg1,N/A,N/A,float32,N/A,N/A,DISCOVERED_UNMAPPED
alpha_spmm_alg1,N/A,N/A,float64,N/A,N/A,DISCOVERED_UNMAPPED
alpha_spmm_alg1,N/A,N/A,complex64,N/A,N/A,DISCOVERED_UNMAPPED
alpha_spmm_alg1,N/A,N/A,complex128,N/A,N/A,DISCOVERED_UNMAPPED
gather,index,int32,float16,non,triton,SUPPORTED
gather,index,int32,bfloat16,non,triton,SUPPORTED
gather,index,int32,float32,non,triton,SUPPORTED
gather,index,int32,float64,non,triton,SUPPORTED
gather,index,int32,complex64,non,triton,SUPPORTED
gather,index,int32,complex128,non,triton,SUPPORTED
gather,index,int64,float16,non,triton,SUPPORTED
gather,index,int64,bfloat16,non,triton,SUPPORTED
gather,index,int64,float32,non,triton,SUPPORTED
gather,index,int64,float64,non,triton,SUPPORTED
gather,index,int64,complex64,non,triton,SUPPORTED
gather,index,int64,complex128,non,triton,SUPPORTED
scatter,index,int32,float16,non,triton,SUPPORTED
scatter,index,int32,bfloat16,non,triton,SUPPORTED
scatter,index,int32,float32,non,triton,SUPPORTED
scatter,index,int32,float64,non,triton,SUPPORTED
scatter,index,int32,complex64,non,triton,SUPPORTED
scatter,index,int32,complex128,non,triton,SUPPORTED
scatter,index,int64,float16,non,triton,SUPPORTED
scatter,index,int64,bfloat16,non,triton,SUPPORTED
scatter,index,int64,float32,non,triton,SUPPORTED
scatter,index,int64,float64,non,triton,SUPPORTED
scatter,index,int64,complex64,non,triton,SUPPORTED
scatter,index,int64,complex128,non,triton,SUPPORTED
sddmm,CSR,int32,float32,non,triton,SUPPORTED
sddmm,CSR,int32,float64,non,triton,SUPPORTED
sddmm,CSR,int64,float32,non,triton,SUPPORTED
sddmm,CSR,int64,float64,non,triton,SUPPORTED
spgemm,CSR,int32,float32,non,triton,SUPPORTED
spgemm,CSR,int32,float64,non,triton,SUPPORTED
spgemm,CSR,int64,float32,non,triton,SUPPORTED
spgemm,CSR,int64,float64,non,triton,SUPPORTED
spmm,COO,int32,float16,non,triton,SUPPORTED
spmm,COO,int32,float16,trans,triton,SUPPORTED
spmm,COO,int32,float16,conj,triton,SUPPORTED
spmm,COO,int32,bfloat16,non,triton,SUPPORTED
spmm,COO,int32,bfloat16,trans,triton,SUPPORTED
spmm,COO,int32,bfloat16,conj,triton,SUPPORTED
spmm,COO,int32,float32,non,triton,SUPPORTED
spmm,COO,int32,float32,trans,triton,SUPPORTED
spmm,COO,int32,float32,conj,triton,SUPPORTED
spmm,COO,int32,float64,non,triton,SUPPORTED
spmm,COO,int32,float64,trans,triton,SUPPORTED
spmm,COO,int32,float64,conj,triton,SUPPORTED
spmm,COO,int32,complex64,non,triton,SUPPORTED
spmm,COO,int32,complex64,trans,triton,SUPPORTED
spmm,COO,int32,complex64,conj,triton,SUPPORTED
spmm,COO,int32,complex128,non,triton,SUPPORTED
spmm,COO,int32,complex128,trans,triton,SUPPORTED
spmm,COO,int32,complex128,conj,triton,SUPPORTED
spmm,COO,int64,float16,non,triton,SUPPORTED
spmm,COO,int64,float16,trans,triton,SUPPORTED
spmm,COO,int64,float16,conj,triton,SUPPORTED
spmm,COO,int64,bfloat16,non,triton,SUPPORTED
spmm,COO,int64,bfloat16,trans,triton,SUPPORTED
spmm,COO,int64,bfloat16,conj,triton,SUPPORTED
spmm,COO,int64,float32,non,triton,SUPPORTED
spmm,COO,int64,float32,trans,triton,SUPPORTED
spmm,COO,int64,float32,conj,triton,SUPPORTED
spmm,COO,int64,float64,non,triton,SUPPORTED
spmm,COO,int64,float64,trans,triton,SUPPORTED
spmm,COO,int64,float64,conj,triton,SUPPORTED
spmm,COO,int64,complex64,non,triton,SUPPORTED
spmm,COO,int64,complex64,trans,triton,SUPPORTED
spmm,COO,int64,complex64,conj,triton,SUPPORTED
spmm,COO,int64,complex128,non,triton,SUPPORTED
spmm,COO,int64,complex128,trans,triton,SUPPORTED
spmm,COO,int64,complex128,conj,triton,SUPPORTED
spmm,CSR,int32,float16,non,triton,SUPPORTED
spmm,CSR,int32,float16,trans,triton,SUPPORTED
spmm,CSR,int32,float16,conj,triton,SUPPORTED
spmm,CSR,int32,bfloat16,non,triton,SUPPORTED
spmm,CSR,int32,bfloat16,trans,triton,SUPPORTED
spmm,CSR,int32,bfloat16,conj,triton,SUPPORTED
spmm,CSR,int32,float32,non,triton,SUPPORTED
spmm,CSR,int32,float32,non,triton_opt,SUPPORTED
spmm,CSR,int32,float32,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,float32,trans,triton,SUPPORTED
spmm,CSR,int32,float32,conj,triton,SUPPORTED
spmm,CSR,int32,float64,non,triton,SUPPORTED
spmm,CSR,int32,float64,non,triton_opt,SUPPORTED
spmm,CSR,int32,float64,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,float64,trans,triton,SUPPORTED
spmm,CSR,int32,float64,conj,triton,SUPPORTED
spmm,CSR,int32,complex64,non,triton,SUPPORTED
spmm,CSR,int32,complex64,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,complex64,trans,triton,SUPPORTED
spmm,CSR,int32,complex64,conj,triton,SUPPORTED
spmm,CSR,int32,complex128,non,triton,SUPPORTED
spmm,CSR,int32,complex128,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,complex128,trans,triton,SUPPORTED
spmm,CSR,int32,complex128,conj,triton,SUPPORTED
spmm,CSR,int64,float16,non,triton,SUPPORTED
spmm,CSR,int64,float16,trans,triton,SUPPORTED
spmm,CSR,int64,float16,conj,triton,SUPPORTED
spmm,CSR,int64,bfloat16,non,triton,SUPPORTED
spmm,CSR,int64,bfloat16,trans,triton,SUPPORTED
spmm,CSR,int64,bfloat16,conj,triton,SUPPORTED
spmm,CSR,int64,float32,non,triton,SUPPORTED
spmm,CSR,int64,float32,non,triton_opt,SUPPORTED
spmm,CSR,int64,float32,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int64,float32,trans,triton,SUPPORTED
spmm,CSR,int64,float32,conj,triton,SUPPORTED
spmm,CSR,int64,float64,non,triton,SUPPORTED
spmm,CSR,int64,float64,non,triton_opt,SUPPORTED
spmm,CSR,int64,float64,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int64,float64,trans,triton,SUPPORTED
spmm,CSR,int64,float64,conj,triton,SUPPORTED
spmm,CSR,int64,complex64,non,triton,SUPPORTED
spmm,CSR,int64,complex64,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int64,complex64,trans,triton,SUPPORTED
spmm,CSR,int64,complex64,conj,triton,SUPPORTED
spmm,CSR,int64,complex128,non,triton,SUPPORTED
spmm,CSR,int64,complex128,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int64,complex128,trans,triton,SUPPORTED
spmm,CSR,int64,complex128,conj,triton,SUPPORTED
spmv,BSR,int32,float32,non,triton,SUPPORTED
spmv,BSR,int32,float32,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int32,float32,trans,triton,SUPPORTED
spmv,BSR,int32,float32,conj,triton,SUPPORTED
spmv,BSR,int32,float64,non,triton,SUPPORTED
spmv,BSR,int32,float64,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int32,float64,trans,triton,SUPPORTED
spmv,BSR,int32,float64,conj,triton,SUPPORTED
spmv,BSR,int32,complex64,non,triton,SUPPORTED
spmv,BSR,int32,complex64,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int32,complex64,trans,triton,SUPPORTED
spmv,BSR,int32,complex64,conj,triton,SUPPORTED
spmv,BSR,int32,complex128,non,triton,SUPPORTED
spmv,BSR,int32,complex128,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int32,complex128,trans,triton,SUPPORTED
spmv,BSR,int32,complex128,conj,triton,SUPPORTED
spmv,BSR,int64,float32,non,triton,SUPPORTED
spmv,BSR,int64,float32,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int64,float32,trans,triton,SUPPORTED
spmv,BSR,int64,float32,conj,triton,SUPPORTED
spmv,BSR,int64,float64,non,triton,SUPPORTED
spmv,BSR,int64,float64,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int64,float64,trans,triton,SUPPORTED
spmv,BSR,int64,float64,conj,triton,SUPPORTED
spmv,BSR,int64,complex64,non,triton,SUPPORTED
spmv,BSR,int64,complex64,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int64,complex64,trans,triton,SUPPORTED
spmv,BSR,int64,complex64,conj,triton,SUPPORTED
spmv,BSR,int64,complex128,non,triton,SUPPORTED
spmv,BSR,int64,complex128,non,triton_blockrow_reduce,SUPPORTED
spmv,BSR,int64,complex128,trans,triton,SUPPORTED
spmv,BSR,int64,complex128,conj,triton,SUPPORTED
spmv,COO,int32,float32,non,triton,SUPPORTED
spmv,COO,int32,float32,trans,triton,SUPPORTED
spmv,COO,int32,float32,conj,triton,SUPPORTED
spmv,COO,int32,float64,non,triton,SUPPORTED
spmv,COO,int32,float64,trans,triton,SUPPORTED
spmv,COO,int32,float64,conj,triton,SUPPORTED
spmv,COO,int32,complex64,non,triton,SUPPORTED
spmv,COO,int32,complex64,trans,triton,SUPPORTED
spmv,COO,int32,complex64,conj,triton,SUPPORTED
spmv,COO,int32,complex128,non,triton,SUPPORTED
spmv,COO,int32,complex128,trans,triton,SUPPORTED
spmv,COO,int32,complex128,conj,triton,SUPPORTED
spmv,COO,int64,float32,non,triton,SUPPORTED
spmv,COO,int64,float32,trans,triton,SUPPORTED
spmv,COO,int64,float32,conj,triton,SUPPORTED
spmv,COO,int64,float64,non,triton,SUPPORTED
spmv,COO,int64,float64,trans,triton,SUPPORTED
spmv,COO,int64,float64,conj,triton,SUPPORTED
spmv,COO,int64,complex64,non,triton,SUPPORTED
spmv,COO,int64,complex64,trans,triton,SUPPORTED
spmv,COO,int64,complex64,conj,triton,SUPPORTED
spmv,COO,int64,complex128,non,triton,SUPPORTED
spmv,COO,int64,complex128,trans,triton,SUPPORTED
spmv,COO,int64,complex128,conj,triton,SUPPORTED
spmv,COO->CSR,int32,float16,non,triton,SUPPORTED
spmv,COO->CSR,int32,bfloat16,non,triton,SUPPORTED
spmv,COO->CSR,int32,float32,non,triton,SUPPORTED
spmv,COO->CSR,int32,float64,non,triton,SUPPORTED
spmv,COO->CSR,int32,complex64,non,triton,SUPPORTED
spmv,COO->CSR,int32,complex128,non,triton,SUPPORTED
spmv,COO->CSR,int64,float16,non,triton,SUPPORTED
spmv,COO->CSR,int64,bfloat16,non,triton,SUPPORTED
spmv,COO->CSR,int64,float32,non,triton,SUPPORTED
spmv,COO->CSR,int64,float64,non,triton,SUPPORTED
spmv,COO->CSR,int64,complex64,non,triton,SUPPORTED
spmv,COO->CSR,int64,complex128,non,triton,SUPPORTED
spmv,CSC,int32,float32,non,triton,SUPPORTED
spmv,CSC,int32,float32,trans,triton,SUPPORTED
spmv,CSC,int32,float32,conj,triton,SUPPORTED
spmv,CSC,int32,float64,non,triton,SUPPORTED
spmv,CSC,int32,float64,trans,triton,SUPPORTED
spmv,CSC,int32,float64,conj,triton,SUPPORTED
spmv,CSC,int32,complex64,non,triton,SUPPORTED
spmv,CSC,int32,complex64,trans,triton,SUPPORTED
spmv,CSC,int32,complex64,conj,triton,SUPPORTED
spmv,CSC,int32,complex128,non,triton,SUPPORTED
spmv,CSC,int32,complex128,trans,triton,SUPPORTED
spmv,CSC,int32,complex128,conj,triton,SUPPORTED
spmv,CSC,int64,float32,non,triton,SUPPORTED
spmv,CSC,int64,float32,trans,triton,SUPPORTED
spmv,CSC,int64,float32,conj,triton,SUPPORTED
spmv,CSC,int64,float64,non,triton,SUPPORTED
spmv,CSC,int64,float64,trans,triton,SUPPORTED
spmv,CSC,int64,float64,conj,triton,SUPPORTED
spmv,CSC,int64,complex64,non,triton,SUPPORTED
spmv,CSC,int64,complex64,trans,triton,SUPPORTED
spmv,CSC,int64,complex64,conj,triton,SUPPORTED
spmv,CSC,int64,complex128,non,triton,SUPPORTED
spmv,CSC,int64,complex128,trans,triton,SUPPORTED
spmv,CSC,int64,complex128,conj,triton,SUPPORTED
spmv,CSR,int32,float16,non,triton,SUPPORTED
spmv,CSR,int32,float16,trans,triton,SUPPORTED
spmv,CSR,int32,float16,conj,triton,SUPPORTED
spmv,CSR,int32,bfloat16,non,triton,SUPPORTED
spmv,CSR,int32,bfloat16,trans,triton,SUPPORTED
spmv,CSR,int32,bfloat16,conj,triton,SUPPORTED
spmv,CSR,int32,float32,non,triton,SUPPORTED
spmv,CSR,int32,float32,trans,triton,SUPPORTED
spmv,CSR,int32,float32,conj,triton,SUPPORTED
spmv,CSR,int32,float64,non,triton,SUPPORTED
spmv,CSR,int32,float64,trans,triton,SUPPORTED
spmv,CSR,int32,float64,conj,triton,SUPPORTED
spmv,CSR,int32,complex64,non,triton,SUPPORTED
spmv,CSR,int32,complex64,trans,triton,SUPPORTED
spmv,CSR,int32,complex64,conj,triton,SUPPORTED
spmv,CSR,int32,complex128,non,triton,SUPPORTED
spmv,CSR,int32,complex128,trans,triton,SUPPORTED
spmv,CSR,int32,complex128,conj,triton,SUPPORTED
spmv,CSR,int64,float16,non,triton,SUPPORTED
spmv,CSR,int64,float16,trans,triton,SUPPORTED
spmv,CSR,int64,float16,conj,triton,SUPPORTED
spmv,CSR,int64,bfloat16,non,triton,SUPPORTED
spmv,CSR,int64,bfloat16,trans,triton,SUPPORTED
spmv,CSR,int64,bfloat16,conj,triton,SUPPORTED
spmv,CSR,int64,float32,non,triton,SUPPORTED
spmv,CSR,int64,float32,trans,triton,SUPPORTED
spmv,CSR,int64,float32,conj,triton,SUPPORTED
spmv,CSR,int64,float64,non,triton,SUPPORTED
spmv,CSR,int64,float64,trans,triton,SUPPORTED
spmv,CSR,int64,float64,conj,triton,SUPPORTED
spmv,CSR,int64,complex64,non,triton,SUPPORTED
spmv,CSR,int64,complex64,trans,triton,SUPPORTED
spmv,CSR,int64,complex64,conj,triton,SUPPORTED
spmv,CSR,int64,complex128,non,triton,SUPPORTED
spmv,CSR,int64,complex128,trans,triton,SUPPORTED
spmv,CSR,int64,complex128,conj,triton,SUPPORTED
spsm,COO,int32,float32,non,triton,SUPPORTED
spsm,COO,int32,float64,non,triton,SUPPORTED
spsm,COO,int32,complex64,non,triton,SUPPORTED
spsm,COO,int32,complex128,non,triton,SUPPORTED
spsm,CSR,int32,float32,non,triton,SUPPORTED
spsm,CSR,int32,float64,non,triton,SUPPORTED
spsm,CSR,int32,complex64,non,triton,SUPPORTED
spsm,CSR,int32,complex128,non,triton,SUPPORTED
spsv,COO,int32,float32,non,triton,SUPPORTED
spsv,COO,int32,float32,trans,triton,SUPPORTED
spsv,COO,int32,float64,non,triton,SUPPORTED
spsv,COO,int32,float64,trans,triton,SUPPORTED
spsv,COO,int32,complex64,non,triton,SUPPORTED
spsv,COO,int32,complex64,trans,triton,SUPPORTED
spsv,COO,int32,complex128,non,triton,SUPPORTED
spsv,COO,int32,complex128,trans,triton,SUPPORTED
spsv,COO,int64,float32,non,triton,SUPPORTED
spsv,COO,int64,float32,trans,triton,SUPPORTED
spsv,COO,int64,float64,non,triton,SUPPORTED
spsv,COO,int64,float64,trans,triton,SUPPORTED
spsv,COO,int64,complex64,non,triton,SUPPORTED
spsv,COO,int64,complex64,trans,triton,SUPPORTED
spsv,COO,int64,complex128,non,triton,SUPPORTED
spsv,COO,int64,complex128,trans,triton,SUPPORTED
spsv,CSR,int32,float32,non,triton,SUPPORTED
spsv,CSR,int32,float32,trans,triton,SUPPORTED
spsv,CSR,int32,float64,non,triton,SUPPORTED
spsv,CSR,int32,float64,trans,triton,SUPPORTED
spsv,CSR,int32,complex64,non,triton,SUPPORTED
spsv,CSR,int32,complex64,trans,triton,SUPPORTED
spsv,CSR,int32,complex128,non,triton,SUPPORTED
spsv,CSR,int32,complex128,trans,triton,SUPPORTED
spsv,CSR,int64,float32,non,triton,SUPPORTED
spsv,CSR,int64,float32,trans,triton,SUPPORTED
spsv,CSR,int64,float64,non,triton,SUPPORTED
spsv,CSR,int64,float64,trans,triton,SUPPORTED
spsv,CSR,int64,complex64,non,triton,SUPPORTED
spsv,CSR,int64,complex64,trans,triton,SUPPORTED
spsv,CSR,int64,complex128,non,triton,SUPPORTED
spsv,CSR,int64,complex128,trans,triton,SUPPORTED
spsv,SELL,int32,float32,non,triton,SUPPORTED
spsv,SELL,int32,float64,non,triton,SUPPORTED
spsv,SELL,int64,float32,non,triton,SUPPORTED
spsv,SELL,int64,float64,non,triton,SUPPORTED
